# eps=0 u'(0)=0
0.63277 0.70431
0.633288 0.704101
0.633805 0.703892
0.634323 0.703684
0.63484 0.703476
0.635358 0.703267
0.635875 0.703059
0.636392 0.702851
0.63691 0.702643
0.637427 0.702435
0.637944 0.702227
0.638461 0.70202
0.638978 0.701812
0.639495 0.701605
0.640012 0.701397
0.640529 0.70119
0.641046 0.700983
0.641563 0.700776
0.642079 0.700569
0.642596 0.700362
0.643113 0.700155
0.643629 0.699949
0.644146 0.699742
0.644663 0.699536
0.645179 0.699329
0.645695 0.699123
0.646212 0.698917
0.646728 0.698711
0.647244 0.698505
0.647761 0.698299
0.648277 0.698093
0.648793 0.697887
0.649309 0.697682
0.649825 0.697476
0.650341 0.697271
0.650857 0.697066
0.651373 0.696861
0.651889 0.696656
0.652404 0.696451
0.65292 0.696246
0.653436 0.696041
0.653952 0.695836
0.654467 0.695632
0.654983 0.695427
0.655498 0.695223
0.656014 0.695019
0.656529 0.694814
0.657044 0.69461
0.65756 0.694406
0.658075 0.694203
0.65859 0.693999
0.659105 0.693795
0.65962 0.693592
0.660135 0.693388
0.66065 0.693185
0.661165 0.692981
0.66168 0.692778
0.662195 0.692575
0.66271 0.692372
0.663225 0.692169
0.66374 0.691967
0.664254 0.691764
0.664769 0.691561
0.665283 0.691359
0.665798 0.691157
0.666312 0.690954
0.666827 0.690752
0.667341 0.69055
0.667856 0.690348
0.66837 0.690146
0.668884 0.689945
0.669398 0.689743
0.669912 0.689541
0.670426 0.68934
0.67094 0.689139
0.671454 0.688937
0.671968 0.688736
0.672482 0.688535
0.672996 0.688334
0.67351 0.688133
0.674024 0.687933
0.674537 0.687732
0.675051 0.687531
0.675565 0.687331
0.676078 0.687131
0.676592 0.68693
0.677105 0.68673
0.677619 0.68653
0.678132 0.68633
0.678645 0.68613
0.679158 0.685931
0.679672 0.685731
0.680185 0.685532
0.680698 0.685332
0.681211 0.685133
0.681724 0.684934
0.682237 0.684735
0.68275 0.684536
0.683263 0.684337
0.683776 0.684138
0.684288 0.683939
0.684801 0.68374
0.685314 0.683542
0.685826 0.683344
0.686339 0.683145
0.686852 0.682947
0.687364 0.682749
0.687876 0.682551
0.688389 0.682353
0.688901 0.682155
0.689414 0.681958
0.689926 0.68176
0.690438 0.681563
0.69095 0.681365
0.691462 0.681168
0.691974 0.680971
0.692486 0.680774
0.692998 0.680577
0.69351 0.68038
0.694022 0.680183
0.694534 0.679986
0.695046 0.67979
0.695557 0.679593
0.696069 0.679397
0.696581 0.679201
0.697092 0.679005
0.697604 0.678808
0.698115 0.678613
0.698627 0.678417
0.699138 0.678221
0.699649 0.678025
0.700161 0.67783
0.700672 0.677634
0.701183 0.677439
0.701694 0.677244
0.702205 0.677049
0.702716 0.676854
